Customer ID,Age,Gender,Location,Subscription Status
1,55,Male,Kentucky,Yes
2,19,Male,Maine,Yes
3,50,Male,Massachusetts,Yes
4,21,Male,Rhode Island,Yes
5,45,Male,Oregon,Yes
6,46,Male,Wyoming,Yes
7,63,Male,Montana,Yes
8,27,Male,Louisiana,Yes
9,26,Male,West Virginia,Yes
10,57,Male,Missouri,Yes
11,53,Male,Arkansas,Yes
12,30,Male,Hawaii,Yes
13,61,Male,Delaware,Yes
14,65,Male,New Hampshire,Yes
15,64,Male,New York,Yes
16,64,Male,Rhode Island,Yes
17,25,Male,Alabama,Yes
18,53,Male,Mississippi,Yes
19,52,Male,Montana,Yes
20,66,Male,Rhode Island,Yes
21,21,Male,Louisiana,Yes
22,31,Male,North Carolina,Yes
23,56,Male,California,Yes
24,31,Male,Oklahoma,Yes
25,18,Male,Florida,Yes
26,18,Male,Texas,Yes
27,38,Male,Nevada,Yes
28,56,Male,Kentucky,Yes
29,54,Male,North Carolina,Yes
30,31,Male,Wyoming,Yes
31,57,Male,North Carolina,Yes
32,33,Male,West Virginia,Yes
33,36,Male,Kansas,Yes
34,54,Male,Colorado,Yes
35,36,Male,North Dakota,Yes
36,54,Male,Massachusetts,Yes
37,35,Male,Illinois,Yes
38,35,Male,Indiana,Yes
39,29,Male,Florida,Yes
40,70,Male,Arizona,Yes
41,69,Male,Louisiana,Yes
42,67,Male,Alaska,Yes
43,20,Male,Tennessee,Yes
44,25,Male,Ohio,Yes
45,39,Male,Kentucky,Yes
46,50,Male,Tennessee,Yes
47,57,Male,California,Yes
48,55,Male,Montana,Yes
49,42,Male,Nevada,Yes
50,68,Male,New Jersey,Yes
51,49,Male,Maryland,Yes
52,59,Male,Vermont,Yes
53,42,Male,Alaska,Yes
54,29,Male,Mississippi,Yes
55,47,Male,New Mexico,Yes
56,40,Male,South Carolina,Yes
57,41,Male,Mississippi,Yes
58,21,Male,West Virginia,Yes
59,69,Male,Missouri,Yes
60,63,Male,Louisiana,Yes
61,50,Male,Idaho,Yes
62,55,Male,Texas,Yes
63,30,Male,Mississippi,Yes
64,33,Male,Arizona,Yes
65,65,Male,Alabama,Yes
66,65,Male,New Jersey,Yes
67,31,Male,Pennsylvania,Yes
68,45,Male,Connecticut,Yes
69,57,Male,Utah,Yes
70,48,Male,Tennessee,Yes
